actual,probability,cum_fraud,gain
0,6.0620125e-05,12,100.0
0,6.061879e-05,12,100.0
0,6.0577127e-05,12,100.0
0,6.0362843e-05,12,100.0
0,6.0348222e-05,12,100.0
0,6.0200677e-05,12,100.0
0,6.015196e-05,12,100.0
0,5.9779974e-05,12,100.0
0,5.964741e-05,12,100.0
0,5.9608854e-05,12,100.0
0,5.9578735e-05,12,100.0
0,5.953069e-05,12,100.0
0,5.9384234e-05,12,100.0
0,5.92933e-05,12,100.0
0,5.892522e-05,12,100.0
0,5.8924317e-05,12,100.0
0,5.8874495e-05,12,100.0
0,5.8846043e-05,12,100.0
0,5.8833248e-05,12,100.0
0,5.8602553e-05,12,100.0
0,5.858277e-05,12,100.0
0,5.8445836e-05,12,100.0
0,5.831884e-05,12,100.0
0,5.8231035e-05,12,100.0
0,5.8028374e-05,12,100.0
0,5.802135e-05,12,100.0
0,5.798495e-05,12,100.0
0,5.7971796e-05,12,100.0
0,5.7829726e-05,12,100.0
0,5.7825535e-05,12,100.0
0,5.7719146e-05,12,100.0
0,5.770462e-05,12,100.0
0,5.7529953e-05,12,100.0
0,5.733355e-05,12,100.0
0,5.7177283e-05,12,100.0
0,5.717489e-05,12,100.0
0,5.6903842e-05,12,100.0
0,5.6900855e-05,12,100.0
0,5.6889952e-05,12,100.0
0,5.678751e-05,12,100.0
0,5.6776786e-05,12,100.0
0,5.6393397e-05,12,100.0
0,5.626464e-05,12,100.0
0,5.6191286e-05,12,100.0
0,5.6115357e-05,12,100.0
0,5.6003253e-05,12,100.0
0,5.6000797e-05,12,100.0
0,5.5990546e-05,12,100.0
0,5.5981523e-05,12,100.0
0,5.5974207e-05,12,100.0
0,5.5968285e-05,12,100.0
0,5.595724e-05,12,100.0
0,5.560143e-05,12,100.0
0,5.5549233e-05,12,100.0
0,5.5496384e-05,12,100.0
0,5.548025e-05,12,100.0
0,5.541664e-05,12,100.0
0,5.533927e-05,12,100.0
0,5.5250734e-05,12,100.0
0,5.5168603e-05,12,100.0
0,5.5161505e-05,12,100.0
0,5.5154876e-05,12,100.0
0,5.5005283e-05,12,100.0
0,5.4735337e-05,12,100.0
0,5.4713415e-05,12,100.0
0,5.450584e-05,12,100.0
0,5.4244963e-05,12,100.0
0,5.4150485e-05,12,100.0
0,5.4093143e-05,12,100.0
0,5.341507e-05,12,100.0
0,5.3212723e-05,12,100.0
0,5.3187963e-05,12,100.0
0,5.3121003e-05,12,100.0
0,5.3004165e-05,12,100.0
0,5.2903422e-05,12,100.0
0,5.261634e-05,12,100.0
0,5.258945e-05,12,100.0
0,5.2553554e-05,12,100.0
0,5.255225e-05,12,100.0
0,5.2133608e-05,12,100.0
0,5.2122527e-05,12,100.0
0,5.2080988e-05,12,100.0
0,5.2043553e-05,12,100.0
0,5.1900515e-05,12,100.0
0,5.188765e-05,12,100.0
0,5.1804098e-05,12,100.0
0,5.1730145e-05,12,100.0
0,5.1693853e-05,12,100.0
0,5.168261e-05,12,100.0
0,5.1602925e-05,12,100.0
0,5.1598745e-05,12,100.0
0,5.143132e-05,12,100.0
0,5.142799e-05,12,100.0
0,5.1311545e-05,12,100.0
0,5.1156814e-05,12,100.0
0,5.1077892e-05,12,100.0
0,5.096535e-05,12,100.0
0,5.042386e-05,12,100.0
0,5.007725e-05,12,100.0
0,4.995391e-05,12,100.0
0,4.9633723e-05,12,100.0
0,4.9600647e-05,12,100.0
0,4.955649e-05,12,100.0
0,4.9530976e-05,12,100.0
0,4.9431976e-05,12,100.0
0,4.9303733e-05,12,100.0
0,4.9144277e-05,12,100.0
0,4.8947695e-05,12,100.0
0,4.8867758e-05,12,100.0
0,4.882816e-05,12,100.0
0,4.8735492e-05,12,100.0
0,4.8694706e-05,12,100.0
0,4.8539943e-05,12,100.0
0,4.8527036e-05,12,100.0
0,4.8440896e-05,12,100.0
0,4.8438862e-05,12,100.0
0,4.8396843e-05,12,100.0
0,4.8290858e-05,12,100.0
0,4.814721e-05,12,100.0
0,4.7958543e-05,12,100.0
0,4.7937607e-05,12,100.0
0,4.785457e-05,12,100.0
0,4.7806127e-05,12,100.0
0,4.77058e-05,12,100.0
0,4.755822e-05,12,100.0
0,4.753392e-05,12,100.0
0,4.7454836e-05,12,100.0
0,4.7222034e-05,12,100.0
0,4.7202717e-05,12,100.0
0,4.7167574e-05,12,100.0
0,4.7069123e-05,12,100.0
0,4.6965237e-05,12,100.0
0,4.6653662e-05,12,100.0
0,4.6649522e-05,12,100.0
0,4.6493595e-05,12,100.0
0,4.636979e-05,12,100.0
0,4.636683e-05,12,100.0
0,4.629216e-05,12,100.0
0,4.6012683e-05,12,100.0
0,4.6002722e-05,12,100.0
0,4.5956815e-05,12,100.0
0,4.595182e-05,12,100.0
0,4.586177e-05,12,100.0
