population,gain
26.705796038151135,0.0
26.77916360968452,0.0
26.852531181217902,0.0
26.92589875275128,0.0
26.999266324284665,0.0
27.07263389581805,0.0
27.146001467351432,0.0
27.21936903888481,0.0
27.292736610418196,0.0
27.366104181951577,0.0
27.439471753484963,0.0
27.51283932501834,0.0
27.586206896551722,0.0
27.659574468085108,0.0
27.732942039618493,0.0
27.806309611151868,0.0
27.879677182685253,0.0
27.953044754218638,0.0
28.02641232575202,0.0
28.099779897285398,0.0
28.173147468818783,0.0
28.246515040352165,0.0
28.319882611885543,0.0
28.393250183418928,0.0
28.46661775495231,0.0
28.539985326485695,0.0
28.613352898019073,0.0
28.68672046955246,0.0
28.76008804108584,0.0
28.833455612619225,0.0
28.906823184152604,0.0
28.980190755685985,0.0
29.05355832721937,0.0
29.126925898752752,0.0
29.20029347028613,0.0
29.273661041819516,0.0
29.347028613352897,0.0
29.420396184886282,0.0
29.49376375641966,0.0
29.567131327953046,0.0
29.640498899486428,0.0
29.713866471019813,0.0
29.78723404255319,0.0
29.860601614086573,0.0
29.933969185619958,0.0
30.007336757153336,0.0
30.080704328686718,0.0
30.154071900220103,0.0
30.227439471753488,0.0
30.300807043286866,0.0
30.374174614820248,0.0
30.447542186353633,0.0
30.520909757887015,0.0
30.594277329420393,0.0
30.66764490095378,0.0
30.74101247248716,0.0
30.814380044020545,0.0
30.887747615553923,0.0
30.96111518708731,0.0
31.03448275862069,0.0
31.107850330154076,0.0
31.181217901687454,0.0
31.254585473220835,0.0
31.32795304475422,0.0
31.401320616287602,0.0
31.47468818782098,0.0
31.548055759354366,0.0
31.621423330887747,0.0
31.694790902421126,0.0
31.76815847395451,0.0
31.841526045487896,0.0
31.914893617021278,0.0
31.988261188554656,0.0
32.06162876008804,0.0
32.13499633162142,0.0
32.208363903154805,0.0
32.281731474688186,0.0
32.35509904622157,0.0
32.42846661775495,0.0
32.50183418928834,0.0
32.57520176082171,0.0
32.6485693323551,8.333333333333332
32.72193690388848,8.333333333333332
32.795304475421865,8.333333333333332
32.86867204695525,8.333333333333332
32.94203961848863,8.333333333333332
33.01540719002201,8.333333333333332
33.08877476155539,8.333333333333332
33.162142333088774,8.333333333333332
33.235509904622155,8.333333333333332
33.308877476155544,8.333333333333332
33.38224504768892,8.333333333333332
33.4556126192223,8.333333333333332
33.52898019075569,8.333333333333332
33.60234776228907,8.333333333333332
33.675715333822446,8.333333333333332
33.749082905355834,8.333333333333332
33.822450476889216,8.333333333333332
33.8958180484226,8.333333333333332
33.96918561995598,8.333333333333332
34.04255319148936,8.333333333333332
34.11592076302274,8.333333333333332
34.18928833455613,8.333333333333332
34.262655906089506,8.333333333333332
34.33602347762289,8.333333333333332
34.40939104915628,8.333333333333332
34.48275862068966,8.333333333333332
34.55612619222303,8.333333333333332
34.62949376375642,8.333333333333332
34.7028613352898,8.333333333333332
34.776228906823185,8.333333333333332
34.84959647835657,8.333333333333332
34.92296404988995,8.333333333333332
34.99633162142333,8.333333333333332
35.06969919295672,8.333333333333332
35.143066764490094,8.333333333333332
35.216434336023475,8.333333333333332
35.289801907556864,8.333333333333332
35.36316947909024,8.333333333333332
35.43653705062362,8.333333333333332
35.50990462215701,8.333333333333332
35.58327219369039,8.333333333333332
35.656639765223765,8.333333333333332
35.730007336757154,8.333333333333332
35.803374908290536,8.333333333333332
35.87674247982392,8.333333333333332
35.9501100513573,8.333333333333332
36.02347762289068,8.333333333333332
36.09684519442406,8.333333333333332
36.17021276595745,8.333333333333332
36.243580337490826,8.333333333333332
36.31694790902421,8.333333333333332
36.3903154805576,8.333333333333332
36.46368305209098,8.333333333333332
36.53705062362435,8.333333333333332
36.61041819515774,8.333333333333332
36.68378576669112,8.333333333333332
36.757153338224505,8.333333333333332
36.83052090975789,8.333333333333332
36.90388848129127,8.333333333333332
36.97725605282465,8.333333333333332
37.05062362435803,8.333333333333332
37.12399119589141,8.333333333333332
37.197358767424795,8.333333333333332
37.270726338958184,8.333333333333332
37.34409391049156,8.333333333333332
37.41746148202495,8.333333333333332
37.49082905355833,8.333333333333332
37.56419662509171,8.333333333333332
37.63756419662509,8.333333333333332
37.710931768158474,8.333333333333332
37.784299339691856,8.333333333333332
37.85766691122524,8.333333333333332
37.93103448275862,8.333333333333332
38.004402054292,8.333333333333332
38.07776962582538,8.333333333333332
38.15113719735877,8.333333333333332
38.224504768892146,8.333333333333332
38.297872340425535,8.333333333333332
38.37123991195892,8.333333333333332
38.4446074834923,8.333333333333332
38.51797505502568,8.333333333333332
38.59134262655906,8.333333333333332
38.66471019809244,8.333333333333332
38.738077769625825,8.333333333333332
38.81144534115921,8.333333333333332
38.88481291269259,8.333333333333332
38.95818048422598,8.333333333333332
39.03154805575935,8.333333333333332
39.10491562729273,8.333333333333332
39.17828319882612,8.333333333333332
39.251650770359504,8.333333333333332
39.32501834189288,8.333333333333332
39.39838591342627,8.333333333333332
39.47175348495965,8.333333333333332
39.54512105649303,8.333333333333332
39.61848862802641,8.333333333333332
39.691856199559794,8.333333333333332
39.765223771093176,8.333333333333332
39.838591342626565,8.333333333333332
39.91195891415994,8.333333333333332
39.98532648569332,8.333333333333332
40.05869405722671,8.333333333333332
40.13206162876009,8.333333333333332
40.205429200293466,8.333333333333332
40.278796771826855,8.333333333333332
40.352164343360236,8.333333333333332
40.42553191489361,8.333333333333332
40.498899486427,8.333333333333332
40.57226705796038,8.333333333333332
40.64563462949376,8.333333333333332
40.719002201027145,8.333333333333332
40.79236977256053,8.333333333333332
40.86573734409391,8.333333333333332
40.9391049156273,8.333333333333332
41.01247248716067,8.333333333333332
41.08584005869405,8.333333333333332
41.15920763022744,8.333333333333332
41.232575201760824,8.333333333333332
41.305942773294205,8.333333333333332
41.37931034482759,8.333333333333332
41.45267791636097,8.333333333333332
41.52604548789435,8.333333333333332
41.59941305942773,8.333333333333332
41.672780630961114,8.333333333333332
41.746148202494496,8.333333333333332
41.819515774027884,8.333333333333332
41.89288334556126,8.333333333333332
41.96625091709464,8.333333333333332
42.03961848862803,8.333333333333332
